supplier_obj_id,value,z_score,outlier,p_value,norm_value,per_inh
AW 00255,0.97532,0.0823591,0,0.745286,0.97532,22.05
AW 00421,0.93649,-0.268342,0,0.486826,0.93649,26.21
AW 00430,0.930073,-0.303071,0,0.661608,0.930073,26.63
AW 00475,0.631184,-2.7701,0,0.00674806,0.631184,55.98
AW 00480,0.935207,-0.252943,0,0.732404,0.935207,26.04
AW 00519,1.11059,1.18904,0,0.308044,1.11059,8.88
AW 00564,1.02685,0.502191,0,0.649046,1.02685,17.05
AW 00594,0.947321,-0.155504,0,0.693646,0.947321,24.88
AW 00603,1.02131,0.458484,0,0.673506,1.02131,17.58
AW 00637,0.991127,0.200242,0,0.612792,0.991127,20.64
AW 00845,0.888933,-0.648398,0,0.567608,0.888933,30.74
BR 00082,0.425409,-4.40755,0,0.000160385,0.425409,75.48
BTB 00693,0.433309,-4.41751,0,1.73686e-05,0.433309,75.57
BTB 00803,0.994934,0.228419,0,0.581846,0.994934,20.31
BTB 01259,0.72662,-1.97938,0,0.0548804,0.72662,46.57
BTB 01345,0.168718,-6.64576,0,1.1392e-09,0.168718,102.06
BTB 01397,1.0481,0.682128,0,0.528154,1.0481,14.92
BTB 01431,0.777458,-1.59854,0,0.231426,0.777458,42.03
BTB 01473,0.144452,-6.85191,0,4.68682e-10,0.144452,104.51
BTB 01480,1.00305,0.293487,0,0.565916,1.00305,19.53
BTB 01594,0.237017,-6.0684,0,1.54687e-08,0.237017,95.2
BTB 02800,1.00798,0.346826,0,0.689106,1.00798,18.9
BTB 02837,0.973023,0.0542479,0,0.650918,0.973023,22.38
BTB 03305,0.732824,-1.9936,0,0.208684,0.732824,46.72
BTB 03433,1.04069,0.622564,0,0.560652,1.04069,15.62
BTB 03574,0.993499,0.224815,0,0.66243,0.993499,20.35
BTB 03608,0.646584,-2.73144,0,0.104941,0.646584,55.48
BTB 03925,0.898914,-0.593553,0,0.445848,0.898914,30.07
BTB 04194,0.884212,-0.678868,0,0.527758,0.884212,31.1
BTB 04231,1.03794,0.589604,0,0.604436,1.03794,16.01
BTB 04275,0.893954,-0.606002,0,0.5916,0.893954,30.23
BTB 04463,0.13652,-6.91278,0,2.02848e-10,0.13652,105.24
BTB 04719,0.772198,-1.62292,0,0.159789,0.772198,42.33
BTB 04953,0.935094,-0.260675,0,0.664384,0.935094,26.13
BTB 05020,0.543826,-3.50701,0,0.000907862,0.543826,64.74
BTB 05066,1.02932,0.51582,0,0.63462,1.02932,16.89
BTB 05122,0.90676,-0.495655,0,0.652762,0.90676,28.92
BTB 05144,0.891492,-0.619632,0,0.567102,0.891492,30.4
BTB 05336,1.00279,0.292832,0,0.579778,1.00279,19.54
BTB 05340,0.224751,-6.18484,0,2.54416e-08,0.224751,96.58
BTB 05419,0.948104,-0.153538,0,0.647406,0.948104,24.85
BTB 05486,0.120934,-7.04128,0,8.031e-11,0.120934,106.77
BTB 05499,0.779925,-1.55883,0,0.177819,0.779925,41.56
BTB 05661,0.134222,-6.94089,0,3.80742e-10,0.134222,105.57
BTB 05727,0.212463,-6.31996,0,1.54432e-07,0.212463,98.17
BTB 06084,1.00929,0.350102,0,0.616964,1.00929,18.86
BTB 06237,0.960557,-0.0329028,0,0.825142,0.960557,23.42
BTB 06387,1.05313,0.717119,0,0.52481,1.05313,14.5
BTB 06428,0.827113,-1.16108,0,0.300568,0.827113,36.84
BTB 06691,1.01842,0.432601,0,0.689776,1.01842,17.88
BTB 06791,0.343137,-5.15777,0,3.08012e-07,0.343137,84.38
BTB 07002,0.1105,-7.12706,0,4.17916e-11,0.1105,107.79
BTB 07082,0.435153,-4.42033,0,4.71246e-05,0.435153,75.6
BTB 07328,1.01901,0.430373,0,0.622678,1.01901,17.91
BTB 07385,0.206639,-6.27127,0,5.78786e-10,0.206639,97.63
BTB 07880,0.679019,-2.39679,0,0.0346318,0.679019,51.53
BTB 08239,0.326803,-5.30304,0,2.44772e-07,0.326803,86.1
BTB 08317,0.94213,-0.209498,0,0.58932,0.94213,25.52
BTB 08363,1.02204,0.456584,0,0.636406,1.02204,17.59
BTB 08370,0.945058,-0.198425,0,0.46876,0.945058,25.38
BTB 08512,1.06525,0.814558,0,0.47972,1.06525,13.34
BTB 08537,1.053,0.716792,0,0.522906,1.053,14.5
BTB 08545,1.04207,0.622302,0,0.588714,1.04207,15.62
BTB 08601,0.901234,-0.546766,0,0.631458,0.901234,29.53
BTB 09041,0.906442,-0.500176,0,0.653668,0.906442,28.98
BTB 10282,0.7475,-1.84132,0,0.142859,0.7475,44.92
BTB 10320,0.196752,-6.42271,0,9.92316e-09,0.196752,99.41
BTB 10323,0.607491,-2.99715,0,0.00940254,0.607491,58.67
BTB 10396,0.929829,-0.311131,0,0.604624,0.929829,26.72
BTB 10539,0.986384,0.151097,0,0.518196,0.986384,21.22
BTB 10705,0.132673,-6.95223,0,3.0898e-10,0.132673,105.7
XBX 00150,0.232683,-6.12397,0,5.30068e-08,0.232683,95.85
BTB 11052,1.00576,0.315176,0,0.561148,1.00576,19.27
BTB 11704,1.13662,1.39591,0,0.263372,1.13662,6.42
BTB 11781,0.892575,-0.60574,0,0.566272,0.892575,30.23
BTB 11850,0.885609,-0.686535,0,0.57718,0.885609,31.19
BTB 12055,0.984614,0.150376,0,0.652006,0.984614,21.24
BTB 12761,0.800963,-1.37568,0,0.21162,0.800963,39.39
BTB 12931,0.14473,-6.85866,0,9.94902e-10,0.14473,104.59
BTB 13088,1.04813,0.667319,0,0.578042,1.04813,15.09
BTB 13588,1.02037,0.534457,0,0.502902,1.02037,10.31
BTB 13702,0.862762,-0.778712,0,0.544614,0.862762,27.81
BTB 13761,0.98669,0.2397,0,0.585946,0.98669,15.6
BTB 13763,1.0571,0.826789,0,0.484042,1.0571,9.34
BTB 13765,1.05699,0.817912,0,0.463982,1.05699,10.31
BTB 13845,1.026,0.554244,0,0.607088,1.026,14.39
BTB 14058,1.08275,1.01282,0,0.321144,1.08275,9.64
BTB 14154,0.376283,-4.88517,0,1.41518e-06,0.376283,80.14
BTB 14688,0.108886,-7.13748,0,2.94462e-11,0.108886,106.46
BTB 14851,0.88783,-0.603748,0,0.558676,0.88783,31.55
BTB 14852,0.864453,-0.809123,0,0.42061,0.864453,34.62
BTB 14910,1.0117,0.414201,0,0.679954,1.0117,21.6
BTBG 00025,0.769001,-1.54267,0,0.279804,0.769001,45.02
CD 00707,1.07493,0.917989,0,0.369784,1.07493,17.7
CD 00752,1.05321,0.736397,0,0.473428,1.05321,20.28
CD 00756,0.729153,-1.95352,0,0.0546874,0.729153,50.14
CD 00758,0.797612,-1.39899,0,0.192959,0.797612,43.91
CD 00759,0.780885,-1.53026,0,0.140575,0.780885,45.16
CD 00823,0.110976,-7.12344,0,4.4199e-11,0.110976,106.82
CD 00995,1.03999,0.617811,0,0.561632,1.03999,20.56
CD 01737,0.817161,-1.22187,0,0.22932,0.817161,40.84
CD 01803,0.458248,-4.19461,0,2.76778e-05,0.458248,74.04
CD 01912,1.0903,1.05544,0,0.292756,1.0903,14.34
CD 02044,0.907935,-0.456422,0,0.648196,0.907935,30.99
CD 02158,0.83762,-1.04132,0,0.29799,0.83762,37.19
CD 02448,1.09298,1.08133,0,0.279752,1.09298,12.29
CD 02452,1.04631,0.699527,0,0.484928,1.04631,16.34
CD 02506,1.05254,0.756586,0,0.453196,1.05254,15.51
CD 02717,0.413595,-4.59123,0,1.39719e-05,0.413595,77.14
CD 02744,0.956867,-0.0447303,0,0.964358,0.956867,24.81
CD 02745,1.02125,0.500622,0,0.622946,1.02125,18.71
CD 02761,1.10838,1.21676,0,0.225062,1.10838,10.37
CD 02830,1.0785,0.959482,0,0.33791,1.0785,13.31
CD 02841,1.06567,0.85845,0,0.39085,1.06567,14.69
CD 02860,0.288831,-5.67418,0,1.84191e-06,0.288831,89.38
CD 02966,0.665633,-2.47625,0,0.0138448,0.665633,53.49
CD 03254,0.118617,-7.05761,0,5.49898e-11,0.118617,105.79
CD 03308,0.954537,-0.0671703,0,0.946446,0.954537,26.8
CD 03678,0.642471,-2.68503,0,0.0107677,0.642471,56.66
CD 04032,1.09935,1.11477,0,0.28667,1.09935,14.34
CD 04236,1.05833,0.783333,0,0.439996,1.05833,18.68
CD 04254,1.06221,0.809127,0,0.434084,1.06221,18.84
CD 04583,1.0326,0.561149,0,0.590172,1.0326,21.95
CD 04975,0.244278,-6.03447,0,1.45029e-07,0.244278,94.78
CD 05071,1.01071,0.382552,0,0.710114,1.01071,24.36
CD 05259,0.146207,-6.8268,0,2.1458e-10,0.146207,103.68
CD 05404,1.09908,1.10613,0,0.304908,1.09908,16.83
CD 05753,0.583162,-3.12574,0,0.0033847,0.583162,63.6
CD 06082,1.14703,1.49354,0,0.193363,1.14703,13.64
CD 06608,0.898449,-0.55036,0,0.592708,0.898449,36.36
CD 06678,0.131335,-6.95746,0,1.75737e-10,0.131335,105.42
CD 06681,1.10467,1.12925,0,0.374464,1.10467,19.35
CD 06828,0.745496,-1.83757,0,0.0955338,0.745496,51.08
CD 06834,0.792292,-1.45479,0,0.205558,0.792292,46.97
CD 06872,0.704838,-2.18577,0,0.0600878,0.704838,54.54
CD 06919,1.02605,0.468964,0,0.461618,1.02605,25.74
CD 07342,0.686123,-2.32593,0,0.0298826,0.686123,55.33
CD 08368,0.992667,0.219326,0,0.67634,0.992667,27.18
CD 08396,0.451639,-4.39175,0,0.00942106,0.451639,76.62
CD 08635,0.588668,-3.09607,0,0.00225854,0.588668,62.57
CD 09291,0.991661,0.225309,0,0.826132,0.991661,24.81
CD 09658,0.780181,-1.52556,0,0.130316,0.780181,43.71
CD 09661,0.929711,-0.280884,0,0.779934,0.929711,28.82
CD 09821,1.02814,0.551249,0,0.583184,1.02814,18.63
CD 10699,1.04014,0.637816,0,0.52526,1.04014,16.76
CD 10742,1.02032,0.476015,0,0.634462,1.02032,18.16
CD 10788,0.955324,-0.0596099,0,0.952472,0.955324,24.22
CD 11359,0.99722,0.295301,0,0.769132,0.99722,20.11
DFP 00056,0.758725,-1.67829,0,0.10204,0.758725,43.79
DFP 00315,1.06214,0.828894,0,0.407324,1.06214,14.99
DP 00330,1.10559,1.17769,0,0.243996,1.10559,11.34
DP 00453,1.19083,1.88788,0,0.0609598,1.19083,3.74
DP 00477,0.780345,-1.6803,1,0.257358,0.780345,43.44
DP 00750,0.59573,-3.06883,0,0.00301536,0.59573,60.95
DP 00881,0.122456,-7.01983,0,4.0827e-11,0.122456,105.59
DP 01415,0.670012,-2.45315,0,0.0185559,0.670012,54.75
DP 01417,1.02245,0.474393,0,0.652228,1.02245,22.72
DP 01887,0.545707,-3.53543,0,0.00549134,0.545707,67.35
DP 01888,0.975884,0.0948775,0,0.83016,0.975884,28.36
DP 02004,0.796791,-1.48736,0,0.480952,0.796791,46.05
DSHS 00540,1.08128,0.993434,0,0.323052,1.08128,9.51
EN 00070,0.967728,0.0412782,0,0.967078,0.967728,21.04
EN 00220,0.962641,0.00844599,0,0.906118,0.962641,21.69
FM 00211,0.980343,0.122665,0,0.73107,0.980343,20.13
FM 00217,0.76547,-1.69715,0,0.197517,0.76547,41.74
FM 00281,1.06483,0.849719,0,0.395488,1.06483,11.97
GK 00584,0.993273,0.262731,0,0.794062,0.993273,19.18
GK 00860,0.507356,-3.88668,1,0.00742358,0.507356,67.81
GK 00898,1.07493,0.923716,0,0.360044,1.07493,11.4
GK 01359,0.920412,-0.357955,0,0.721708,0.920412,26.77
GK 01594,0.869534,-0.797053,0,0.449934,0.869534,31.95
GK 02006,0.93543,-0.227626,0,0.81998,0.93543,25.43
GK 02221,1.05288,0.739604,0,0.464408,1.05288,13.99
GK 02386,0.968127,0.0440894,0,0.964842,0.968127,22.31
GK 02445,1.0131,0.454551,0,0.654866,1.0131,17.67
GK 02598,1.1471,1.50956,0,0.152438,1.1471,4.75
GK 02688,1.06303,0.821404,0,0.41923,1.06303,12.88
GK 02714,0.914916,-0.39458,0,0.693266,0.914916,27.29
GK 02719,1.02199,0.475783,0,0.644482,1.02199,16.68
GK 03380,0.968794,0.0476829,0,0.960156,0.968794,21.69
HAN 00069,0.976244,0.108527,0,0.91376,0.976244,20.76
HAN 00102,0.819518,-1.23044,0,0.292474,0.819518,36.33
HAN 00332,1.12372,1.3372,0,0.181271,1.12372,5.71
HAN 00369,0.2007,-6.37549,0,3.98286e-09,0.2007,97.81
HAN 00373,1.00901,0.388834,0,0.697718,1.00901,16.9
HAN 00388,1.00509,0.346821,0,0.729672,1.00509,17.25
HR 00030,0.992219,0.246467,0,0.805326,0.992219,18.43
HTS 00002,0.276165,-5.73993,0,7.56018e-08,0.276165,90.15
HTS 00332,0.982064,0.168962,0,0.866558,0.982064,19.24
HTS 00945,0.647377,-2.64488,0,0.0122277,0.647377,52.82
HTS 01021,1.05902,0.803256,0,0.422036,1.05902,11.36
HTS 01155,1.11366,1.25476,0,0.209576,1.11366,5.82
HTS 01365,0.999098,0.300034,0,0.764364,0.999098,17.31
HTS 01522,0.572401,-3.24811,0,0.00119294,0.572401,60.18
HTS 01570,0.903618,-0.496573,0,0.620788,0.903618,26.88
HTS 01707,0.999443,0.301391,0,0.763592,0.999443,17.24
HTS 01770,0.431781,-4.42656,0,1.39807e-05,0.431781,74.35
HTS 01796,1.02811,0.55168,0,0.58327,1.02811,14.38
HTS 01884,0.456417,-4.29517,0,0.00112765,0.456417,72.08
HTS 01888,1.09575,1.10744,0,0.26816,1.09575,7.72
HTS 02290,1.01664,0.456488,0,0.64991,1.01664,15.73
HTS 02696,0.905973,-0.47985,0,0.63405,0.905973,26.93
HTS 03200,0.763496,-1.64502,0,0.103354,0.763496,41.23
HTS 03395,1.0225,0.502307,0,0.616232,1.0225,15.28
HTS 03520,0.986411,0.188981,0,0.85121,0.986411,18.87
HTS 03640,0.982702,0.172032,0,0.863778,0.982702,19.15
HTS 03642,1.02991,0.575658,0,0.575268,1.02991,14.33
HTS 03649,0.835081,-1.04632,0,0.304472,0.835081,33.86
HTS 03656,0.972042,0.0711648,0,0.92091,0.972042,20.11
HTS 03658,1.01009,0.387885,0,0.699338,1.01009,16.3
HTS 03826,0.774565,-1.55594,0,0.121576,0.774565,39.99
HTS 03843,0.97946,0.140356,0,0.888382,0.97946,19.51
HTS 03872,0.885983,-0.639763,0,0.522636,0.885983,29.03
HTS 03942,1.07275,0.918884,0,0.358794,1.07275,10.55
HTS 04041,1.03771,0.636994,0,0.531042,1.03771,14.32
HTS 04228,1.06731,0.878836,0,0.38321,1.06731,11.67
HTS 04271,1.027,0.540208,0,0.590066,1.027,15.96
HTS 04496,0.578819,-3.17514,0,0.0018629,0.578819,60.53
HTS 04857,0.983073,0.165872,0,0.868468,0.983073,20.85
HTS 05029,1.00968,0.387077,0,0.69914,1.00968,18.46
HTS 05109,0.971767,0.0852936,0,0.895358,0.971767,22.36
HTS 05340,0.888843,-0.602801,0,0.550982,0.888843,30.66
HTS 05483,0.978342,0.131639,0,0.895282,0.978342,22.03
HTS 05532,0.872064,-0.778933,0,0.466572,0.872064,32.54
HTS 05534,0.934851,-0.242212,0,0.810998,0.934851,26.37
HTS 05535,1.02311,0.496192,0,0.621208,1.02311,17.65
HTS 05583,0.973426,0.0924337,0,0.926408,0.973426,22.34
HTS 05647,0.759216,-1.71156,0,0.100763,0.759216,43.18
HTS 05668,1.00764,0.373529,0,0.708762,1.00764,18.22
HTS 05759,0.999083,0.310358,0,0.757568,0.999083,18.55
HTS 06154,0.998173,0.290788,0,0.771684,0.998173,18.15
HTS 06155,0.791192,-1.45023,0,0.172643,0.791192,38.44
HTS 06168,0.959092,-0.0287943,0,0.97703,0.959092,21.05
HTS 06170,1.05241,0.745427,0,0.45604,1.05241,11.1
HTS 06460,0.983937,0.155653,0,0.765164,0.983937,17.56
HTS 06578,1.00186,0.326899,0,0.743762,1.00186,15.16
HTS 06803,0.120794,-7.04562,0,1.04563e-10,0.120794,105.41
HTS 07134,1.0043,0.353594,0,0.725036,1.0043,13.83
HTS 07278,1.05903,0.803542,0,0.42192,1.05903,7.61
HTS 07280,0.952835,-0.0741428,0,0.918502,0.952835,18.13
HTS 07401,1.10166,1.1607,0,0.247016,1.10166,2.51
HTS 07682,1.08645,1.03626,0,0.30256,1.08645,4.1
HTS 07814,1.09733,1.1278,0,0.262628,1.09733,2.96
HTS 07816,1.08945,1.06237,0,0.291416,1.08945,3.79
HTS 08734,1.03369,0.597864,0,0.552028,1.03369,9.61
HTS 09993,0.983376,0.201023,0,0.692484,0.983376,14.89
JA 00093,0.113901,-7.09463,0,3.50932e-11,0.113901,105.63
JA 00122,0.900323,-0.51201,0,0.609858,0.900323,23.54
JA 00123,0.887431,-0.613472,0,0.54489,0.887431,24.89
JFD 00022,0.121727,-7.02754,0,4.52562e-11,0.121727,104.82
JFD 00150,1.04058,0.647121,0,0.517576,1.04058,8.88
JFD 00422,0.989134,0.216073,0,0.829226,0.989134,14.25
JFD 00597,0.946407,-0.12894,0,0.897758,0.946407,18.73
JFD 00950,0.119959,-7.04408,0,4.82084e-11,0.119959,105
JFD 00972,0.781358,-1.47481,0,0.179529,0.781358,35.99
JFD 01192,0.972649,0.105067,0,0.75968,0.972649,16
JFD 01208,0.287194,-5.67137,0,5.95266e-07,0.287194,87.52
JFD 01516,0.794328,-1.39745,0,0.162354,0.794328,34.61
JFD 01755,0.901315,-0.517718,0,0.607016,0.901315,23.42
JFD 01898,0.485838,-3.96737,0,7.53118e-05,0.485838,66.82
JFD 01986,0.752732,-1.75203,0,0.081469,0.752732,38.94
JFD 02062,1.00767,0.379675,0,0.704992,1.00767,12.33
JFD 02125,0.896012,-0.545463,0,0.587944,0.896012,23.99
JFD 02170,1.03011,0.565879,0,0.572436,1.03011,9.98
JFD 02331,0.708534,-2.12187,0,0.0356392,0.708534,43.56
JFD 02393,1.01279,0.412387,0,0.680668,1.01279,11.78
JFD 02584,1.0148,0.422308,0,0.676668,1.0148,11.57
JFD 02882,0.892952,-0.591799,0,0.56029,0.892952,24.29
JFD 03027,0.888364,-0.617524,0,0.536892,0.888364,24.78
JFD 03028,0.356383,-5.05464,0,7.51996e-07,0.356383,80.33
JFD 03033,0.155873,-6.75054,0,5.00398e-10,0.155873,101.25
JFD 03155,0.29709,-5.53034,0,3.20752e-08,0.29709,86.54
JFD 03196,1.00862,0.375071,0,0.709028,1.00862,12.21
JFD 03398,0.457769,-4.21626,0,4.58134e-05,0.457769,69.74
JFD 03446,0.963627,-0.0164668,0,0.726988,0.963627,16.9
JFD 03520,0.150034,-6.78527,0,1.16097e-10,0.150034,101.87
JFD 03916,0.11396,-7.09629,0,4.24652e-11,0.11396,105.63
JP 00319,0.831196,-1.08662,0,0.278792,0.831196,30.76
JP 00336,0.912479,-0.412016,0,0.68102,0.912479,22.27
JP 00414,0.767412,-1.61269,0,0.110158,0.767412,37.42
JP 00451,0.914386,-0.399335,0,0.689724,0.914386,22.07
JP 00512,1.00554,0.351176,0,0.726238,1.00554,12.54
JP 00697,0.811052,-1.27118,0,0.209482,0.811052,32.85
KM 00261,0.859899,-0.855381,0,0.392456,0.859899,27.75
KM 00313,1.00491,0.346949,0,0.729134,1.00491,12.61
KM 00369,0.643202,-2.64867,0,0.00831944,0.643202,50.39
KM 00512,1.05328,0.754102,0,0.450812,1.05328,7.56
KM 00593,1.07088,0.899867,0,0.368194,1.07088,5.72
KM 00691,0.961522,-0.0236284,0,0.838852,0.961522,17.13
KM 00694,0.995947,0.267538,0,0.790844,0.995947,13.54
KM 00792,0.105399,-7.16485,0,2.10174e-11,0.105399,106.52
KM 00799,0.26759,-5.80516,0,3.32148e-08,0.26759,89.59
KM 00887,0.987526,0.217002,0,0.829912,0.987526,14.43
KM 01046,0.667615,-2.45144,0,0.0142307,0.667615,47.84
KM 01284,1.00123,0.317723,0,0.750924,1.00123,12.99
KM 02067,1.07125,0.911269,0,0.365588,1.07125,5.69
KM 02190,0.99702,0.281511,0,0.778716,0.99702,13.43
KM 02224,0.938123,-0.205228,0,0.837432,0.938123,19.58
KM 02231,0.677904,-2.36523,0,0.0180343,0.677904,46.77
KM 03772,0.352727,-5.10631,0,2.33328e-06,0.352727,80.69
KM 03965,1.03611,0.618084,0,0.538708,1.03611,9.36
KM 04019,0.999921,0.310373,0,0.756282,0.999921,13.13
KM 04031,1.04843,0.713663,0,0.47545,1.04843,8.06
KM 04069,1.09527,1.09765,0,0.27342,1.09527,3.17
KM 04177,1.07685,0.952624,0,0.3413,1.07685,5.1
KM 04680,1.03121,0.557411,0,0.583152,1.03121,9.85
KM 04879,0.885186,-0.638659,0,0.524074,0.885186,25.12
KM 04991,0.669261,-2.47537,0,0.0268454,0.669261,47.63
KM 05302,0.994617,0.26074,0,0.794814,0.994617,13.68
KM 05362,1.03633,0.612013,0,0.54054,1.03633,9.33
KM 05490,0.925669,-0.296944,0,0.768866,0.925669,20.9
KM 05662,0.906759,-0.450059,0,0.659206,0.906759,22.87
KM 05872,0.352611,-5.05922,0,5.55044e-07,0.352611,80.75
KM 05969,1.04352,0.674879,0,0.500034,1.04352,8.58
KM 05978,1.05016,0.731312,0,0.465252,1.05016,7.89
KM 05992,1.01772,0.450619,0,0.653948,1.01772,11.26
KM 06072,1.02356,0.507239,0,0.612012,1.02356,10.66
KM 06357,1.06047,0.816969,0,0.41463,1.06047,6.81
KM 06408,1.0785,0.97248,0,0.335088,1.0785,4.93
KM 06494,1.04819,0.720286,0,0.475054,1.04819,8.1
KM 06508,0.995233,0.321684,0,0.496636,0.995233,14.35
KM 06529,0.952534,-0.0178734,0,0.35158,0.952534,19.63
KM 06598,0.644469,-2.59895,0,0.0256312,0.644469,52.25
KM 06623,0.727298,-1.91229,0,0.103019,0.727298,43.81
KM 06760,0.947304,-0.0807475,0,0.512016,0.947304,21.19
KM 06859,0.745472,-1.75118,0,0.166128,0.745472,42.62
KM 06944,0.653873,-2.52152,0,0.0300524,0.653873,52.26
KM 06947,0.136936,-6.90345,0,1.26307e-10,0.136936,104.83
KM 06986,0.826987,-1.08362,0,0.364872,0.826987,34.97
KM 07115,0.713864,-2.03512,0,0.0636452,0.713864,46.71
KM 07522,0.760172,-1.64675,0,0.142763,0.760172,42.27
KM 07972,1.05328,0.793025,0,0.495552,1.05328,12.78
KM 08102,0.643523,-2.59293,0,0.0397266,0.643523,54.5
KM 08103,0.727733,-1.99583,0,0.0881224,0.727733,44.7
KM 08197,0.614602,-2.85305,0,0.0111584,0.614602,56.53
KM 08240,0.985308,0.240202,0,0.47828,0.985308,17.68
KM 08355,0.86473,-0.766181,0,0.537128,0.86473,29.37
KM 08451,0.241238,-5.99961,0,2.09544e-09,0.241238,93.92
KM 08487,0.761802,-1.6185,0,0.19272,0.761802,38.97
KM 08488,0.14195,-6.84522,0,4.0277e-11,0.14195,103.95
